source,target,seed,coop_acc,coop_log,safe_acc,safe_log,legacy_acc,legacy_log,safe_delta,legacy_delta,safe_minus_legacy,complete
food101,eurosat,1,33.1,third_party/CoOp_clean/output/xd/test/eurosat/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,19.1,third_party/CoOp_clean/output/xd/test/eurosat/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,19.2,third_party/CoOp_clean/output/xd/test/eurosat/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,-14.0,-13.900000000000002,-0.09999999999999787,True
food101,eurosat,2,21.0,third_party/CoOp_clean/output/xd/test/eurosat/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,22.9,third_party/CoOp_clean/output/xd/test/eurosat/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,19.7,third_party/CoOp_clean/output/xd/test/eurosat/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,1.8999999999999986,-1.3000000000000007,3.1999999999999993,True
food101,eurosat,3,17.6,third_party/CoOp_clean/output/xd/test/eurosat/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,24.1,third_party/CoOp_clean/output/xd/test/eurosat/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,24.9,third_party/CoOp_clean/output/xd/test/eurosat/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,6.5,7.299999999999997,-0.7999999999999972,True
food101,dtd,1,26.6,third_party/CoOp_clean/output/xd/test/dtd/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,22.8,third_party/CoOp_clean/output/xd/test/dtd/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,22.5,third_party/CoOp_clean/output/xd/test/dtd/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,-3.8000000000000007,-4.100000000000001,0.3000000000000007,True
food101,dtd,2,23.5,third_party/CoOp_clean/output/xd/test/dtd/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,21.0,third_party/CoOp_clean/output/xd/test/dtd/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,19.4,third_party/CoOp_clean/output/xd/test/dtd/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,-2.5,-4.100000000000001,1.6000000000000014,True
food101,dtd,3,24.8,third_party/CoOp_clean/output/xd/test/dtd/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,21.3,third_party/CoOp_clean/output/xd/test/dtd/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,23.9,third_party/CoOp_clean/output/xd/test/dtd/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,-3.5,-0.9000000000000021,-2.599999999999998,True
food101,oxford_flowers,1,43.2,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,38.0,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,40.1,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,-5.200000000000003,-3.1000000000000014,-2.1000000000000014,True
food101,oxford_flowers,2,38.4,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,43.6,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,43.9,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,5.200000000000003,5.5,-0.29999999999999716,True
food101,oxford_flowers,3,30.5,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,34.9,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,39.9,third_party/CoOp_clean/output/xd/test/oxford_flowers/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,4.399999999999999,9.399999999999999,-5.0,True
food101,caltech101,1,66.3,third_party/CoOp_clean/output/xd/test/caltech101/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,72.7,third_party/CoOp_clean/output/xd/test/caltech101/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,74.0,third_party/CoOp_clean/output/xd/test/caltech101/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,6.400000000000006,7.700000000000003,-1.2999999999999972,True
food101,caltech101,2,64.0,third_party/CoOp_clean/output/xd/test/caltech101/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,68.4,third_party/CoOp_clean/output/xd/test/caltech101/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,60.7,third_party/CoOp_clean/output/xd/test/caltech101/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,4.400000000000006,-3.299999999999997,7.700000000000003,True
food101,caltech101,3,60.0,third_party/CoOp_clean/output/xd/test/caltech101/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,56.7,third_party/CoOp_clean/output/xd/test/caltech101/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,64.8,third_party/CoOp_clean/output/xd/test/caltech101/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,-3.299999999999997,4.799999999999997,-8.099999999999994,True
food101,stanford_cars,1,46.6,third_party/CoOp_clean/output/xd/test/stanford_cars/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed1/log.txt,48.5,third_party/CoOp_clean/output/xd/test/stanford_cars/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed1/log.txt,48.0,third_party/CoOp_clean/output/xd/test/stanford_cars/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed1/log.txt,1.8999999999999986,1.3999999999999986,0.5,True
food101,stanford_cars,2,48.4,third_party/CoOp_clean/output/xd/test/stanford_cars/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed2/log.txt,50.2,third_party/CoOp_clean/output/xd/test/stanford_cars/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed2/log.txt,50.4,third_party/CoOp_clean/output/xd/test/stanford_cars/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed2/log.txt,1.8000000000000043,2.0,-0.19999999999999574,True
food101,stanford_cars,3,48.3,third_party/CoOp_clean/output/xd/test/stanford_cars/source_food101/shots_16/CoOp/rn50_ep50/nctx16_cscFalse_ctpend/seed3/log.txt,51.0,third_party/CoOp_clean/output/xd/test/stanford_cars/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_safe_noalt/seed3/log.txt,50.7,third_party/CoOp_clean/output/xd/test/stanford_cars/source_food101/shots_16/CoOpPriorRes/rn50_ep50/nctx16_cscFalse_ctpend_legacy_noalt/seed3/log.txt,2.700000000000003,2.4000000000000057,0.29999999999999716,True
